codigo_municipio,cod_seccion,mos,area_km2,setr,lat,lon,partes
05030,05030300104,1414,22.9744159048,050303001,6.01405199983,-75.686382894,1
05031,05031300101,1,18.4701377236,050313001,7.25332798372,-74.9286412478,1
05031,05031300102,21,18.5585066488,050313001,7.20514509941,-74.9440750609,1
05031,05031300103,131,21.5809227323,050313001,7.17233103591,-74.978546797,1
05031,05031300104,195,21.4399945538,050313001,7.13376117547,-74.9809719455,1
05031,05031300201,108,24.4711109851,050313002,7.11103740642,-75.0043105955,1
05031,05031300202,60,20.1205638067,050313002,7.07690034751,-75.0158759007,1
05031,05031300203,73,32.2697894667,050313002,7.03891673286,-75.035217673,1
05031,05031300204,43,27.3298411955,050313002,7.02887241535,-74.9997499439,1
05031,05031300205,144,20.0955716041,050313002,6.98997250065,-75.0363879265,1
05031,05031300301,1,25.3258320615,050313003,7.2053897111,-74.9060539044,1
05031,05031300302,42,23.0709173907,050313003,7.15765232044,-74.9406326557,1
05031,05031300303,41,30.8322785733,050313003,7.17533056815,-74.8873450233,1
05031,05031300304,12,27.084446633,050313003,7.11975063538,-74.9211625104,1
05031,05031300305,3,20.167066273,050313003,7.07894082541,-74.9171613757,1
05031,05031300401,67,26.9641822408,050313004,7.07987816837,-74.95762057,1
05031,05031300402,36,25.7907454716,050313004,7.02752755794,-74.9705702391,1
05031,05031300403,42,25.0339794778,050313004,7.03568843963,-74.9126922368,1
05031,05031300404,17,20.1811270175,050313004,7.00596151879,-74.9467350353,1
05031,05031300405,97,21.6388050013,050313004,6.9627488681,-75.0101014929,1
05031,05031300406,87,22.7833667521,050313004,6.96017492073,-74.9722506935,1
05031,05031300501,1,20.3237600099,050313005,7.14217654032,-74.8708833054,1
05031,05031300502,4,18.0010161588,050313005,7.08291995185,-74.8859790671,1
05031,05031300503,5,22.6523003727,050313005,7.10286073384,-74.8592219675,1
05031,05031300504,47,21.3880200603,050313005,7.04142010586,-74.8692718489,1
05031,05031300601,32,20.9084327268,050313006,6.97811239086,-74.9271120768,1
05031,05031300602,76,21.3344294325,050313006,6.98522027737,-74.8960468172,1
05031,05031300603,34,20.1290546284,050313006,6.99591275675,-74.8609095046,1
05031,05031300604,57,20.6478400265,050313006,6.93703416618,-74.9178223524,1
05031,05031300605,21,19.5046081957,050313006,6.95378033528,-74.8739365329,1
05031,05031300701,82,29.0644145688,050313007,6.95301276183,-75.0666520565,1
05031,05031300702,124,20.6585764687,050313007,6.92685492866,-75.0352870199,1
05031,05031300703,85,22.8823926503,050313007,6.91981314419,-74.9798115015,1
05031,05031300704,30,25.4153624794,050313007,6.89162418064,-75.0139402165,1
05031,05031300801,209,26.672359392,050313008,6.9207292029,-75.0849917989,1
05031,05031300802,144,20.3521165887,050313008,6.91714534076,-75.1257843024,1
05031,05031300803,13,20.2940319011,050313008,6.8897948728,-75.159425434,1
05031,05031300804,48,16.9141460634,050313008,6.83559751396,-75.1598494988,1
05031,05031300901,46,20.9899157266,050313009,6.87871916899,-75.1086243076,1
